Algorithmus;Geometrie;Zeit(ms);Bilderanzahl;Abdeckungsrate
GUI_ID_QUADSEARCH;Elipse 3;6;7;1
GUI_ID_GREEDY;Elipse 3;33;10;1
GUI_ID_FORCE;Elipse 3;126278;3;0.263682
GUI_ID_SEQUENCE_MONTE_CARLO;Elipse 3;105365;17;0.995025
GUI_ID_ROLLOUT_MONTE_CARLO;Elipse 3;66;11;1
GUI_ID_GRID_APPROACHES;Elipse 3;5;8;1
GUI_ID_QUADSEARCH;Hexagon 3;3;2;1
GUI_ID_GREEDY;Hexagon 3;7;2;1
GUI_ID_FORCE;Hexagon 3;125514;1;0.538012
GUI_ID_SEQUENCE_MONTE_CARLO;Hexagon 3;102507;16;1
GUI_ID_ROLLOUT_MONTE_CARLO;Hexagon 3;32;3;1
GUI_ID_GRID_APPROACHES;Hexagon 3;4;3;1
GUI_ID_QUADSEARCH;Trapeze 3;6;3;1
GUI_ID_GREEDY;Trapeze 3;46;4;1
GUI_ID_FORCE;Trapeze 3;121445;2;0.715686
GUI_ID_SEQUENCE_MONTE_CARLO;Trapeze 3;81637;22;1
GUI_ID_ROLLOUT_MONTE_CARLO;Trapeze 3;51;4;1
GUI_ID_GRID_APPROACHES;Trapeze 3;3;4;1
GUI_ID_QUADSEARCH;Square 3;12;4;1
GUI_ID_GREEDY;Square 3;230;6;1
GUI_ID_FORCE;Square 3;114129;2;0.480296
GUI_ID_SEQUENCE_MONTE_CARLO;Square 3;64310;35;1
GUI_ID_ROLLOUT_MONTE_CARLO;Square 3;51;6;1
GUI_ID_GRID_APPROACHES;Square 3;2;6;1
GUI_ID_QUADSEARCH;Car Door 3;23;12;1
GUI_ID_GREEDY;Car Door 3;864;16;1
GUI_ID_FORCE;Car Door 3;112869;3;0.182236
GUI_ID_SEQUENCE_MONTE_CARLO;Car Door 3;46225;65;1
GUI_ID_ROLLOUT_MONTE_CARLO;Car Door 3;181;15;1
GUI_ID_GRID_APPROACHES;Car Door 3;4;15;1
GUI_ID_QUADSEARCH;Elipse 4;2;2;1
GUI_ID_GREEDY;Elipse 4;6;3;1
GUI_ID_FORCE;Elipse 4;129854;2;0.551282
GUI_ID_SEQUENCE_MONTE_CARLO;Elipse 4;98654;10;1
GUI_ID_ROLLOUT_MONTE_CARLO;Elipse 4;8;3;1
GUI_ID_GRID_APPROACHES;Elipse 4;3;2;1
GUI_ID_QUADSEARCH;Hexagon 4;6;4;1
GUI_ID_GREEDY;Hexagon 4;99;6;1
GUI_ID_FORCE;Hexagon 4;103823;2;0.51711
GUI_ID_SEQUENCE_MONTE_CARLO;Hexagon 4;83993;21;1
GUI_ID_ROLLOUT_MONTE_CARLO;Hexagon 4;70;6;1
GUI_ID_GRID_APPROACHES;Hexagon 4;4;4;0.163498
GUI_ID_QUADSEARCH;Trapeze 4;3;3;1
GUI_ID_GREEDY;Trapeze 4;25;4;1
GUI_ID_FORCE;Trapeze 4;103874;2;0.715686
GUI_ID_SEQUENCE_MONTE_CARLO;Trapeze 4;78910;27;1
GUI_ID_ROLLOUT_MONTE_CARLO;Trapeze 4;39;4;1
GUI_ID_GRID_APPROACHES;Trapeze 4;2;4;1
GUI_ID_QUADSEARCH;Square 4;132;35;1
GUI_ID_GREEDY;Square 4;19870;27;0.877244
GUI_ID_FORCE;Square 4;92300;3;0.107724
GUI_ID_SEQUENCE_MONTE_CARLO;Square 4;33565;238;0.999165
GUI_ID_ROLLOUT_MONTE_CARLO;Square 4;2818;60;1
GUI_ID_GRID_APPROACHES;Square 4;3;60;1
GUI_ID_QUADSEARCH;Car Door 4;88;28;1
GUI_ID_GREEDY;Car Door 4;11169;42;1
GUI_ID_FORCE;Car Door 4;94277;3;0.0959849
GUI_ID_SEQUENCE_MONTE_CARLO;Car Door 4;32940;161;0.996236
GUI_ID_ROLLOUT_MONTE_CARLO;Car Door 4;2384;50;1
GUI_ID_GRID_APPROACHES;Car Door 4;80;42;1
